     phi1       Phi      phi2
  34.1406   140.459   76.5479
  341.661   144.652   84.4052
  26.3003    116.59   110.964
  25.8677   126.697     99.68
  42.3024   123.041   89.0066
   350.36   143.549   108.047
  18.1924   115.349   89.9485
  3.67231   123.952    84.055
  21.9084   141.404    100.93
  317.429   129.483   85.2849
  31.1776    141.15   73.0765
  31.1582   137.166   77.2028
   27.408   141.141   98.5612
  47.2461   112.708   100.104
  54.2085   133.511   124.746
  350.834   121.848   71.3775
  344.331   130.456   100.752
  336.617   141.109   78.9046
  337.219   151.891   87.2085
  24.0174   123.875   73.3079
  12.3262   126.706   83.6793
  337.806   143.063   102.315
  320.475    122.55   78.4944
  22.9929   119.511   93.8213
  9.79739   132.406    68.182
  16.1936   134.728   78.8477
  349.269   133.177   90.2325
   358.45   123.944   78.2584
   359.21   141.445   77.9042
  324.951   128.962   66.6286
  349.324   137.855   84.6992
  326.889   137.824   96.5783
  8.85578   125.679   101.422
  356.736   127.606   61.9405
  32.7491   143.717     90.52
  359.161   122.499   93.5849
  337.658   152.954   68.2376
  2.18854   136.714   60.3809
  18.3281   151.679   61.1364
  321.942   127.715   88.4652
  39.0974   131.889   92.2037
  352.961   131.684   91.3267
   311.14   121.391   78.5286
  335.815   132.441   80.1638
  348.001    142.09   76.6475
  327.972   139.671   47.3159
   3.3451   133.312   102.688
  349.465   142.752   75.1783
  358.935   142.701   90.5204
  339.561   123.771   83.3884
  12.8093   140.565   82.5074
  349.448   121.815   99.2992
  318.783   136.904   85.6788
  325.296   129.989   82.1103
  31.6335   131.617   102.071
  8.52948   132.052   96.1148
  39.6195   121.427   82.4375
  336.293   117.147   75.2324
  21.2278   130.479   72.3514
  8.60004   130.527   80.3276
  17.1587   130.545   78.2171
  9.64529   136.106   80.8702
  358.414   121.853   84.8712
  333.703   144.858   73.5206
  17.3408   117.902   87.2401
  307.779   140.956   67.1547
  50.4264   134.732   98.3863
  13.6964   139.956   97.1337
  5.37301   129.387   63.0981
  339.097   153.065   79.6335
  52.9403   140.462    100.75
  333.515   140.044   81.8233
  29.7474   150.035   74.3682
  52.1237   142.194   96.2483
  14.3287   142.595   59.7975
 0.490544   132.435   79.1111
  353.835   135.352   75.5368
  344.103   138.692   97.5748
   356.55   137.451   67.4348
  320.523   125.197   90.0707
  348.315   134.018   78.7703
  323.501   131.251   82.9025
  43.8791       138   99.3632
  29.6175   144.258   90.7195
  322.723   135.477   79.2705
  3.55924   128.628   75.6225
  8.53171   137.893   92.9377
  336.655    134.13   73.4365
  15.1866   143.993   94.3394
  312.559   148.227   71.7902
  2.29532    129.27   75.4435
  309.466   147.826   68.4314
  27.1503    150.48   78.2876
  341.479   137.035   91.0856
   348.05    122.33   101.231
  352.405   130.133    93.917
  358.886   123.589   84.0299
  26.1395   140.736   74.7499
  328.681   136.245   74.9572
  32.9463   121.912   89.9413
  346.237   150.532   111.326
  355.936   132.955   91.5935
  322.379   124.128   92.8513
  319.902   142.671   80.8113
  44.1592   130.904   83.5852
  346.716   135.591   64.4224
  23.2672   134.571    85.301
  344.276   131.609   79.0272
  344.667   136.881   93.0728
  21.1896   142.661    89.022
  339.434   131.075   72.4082
  45.7078   140.383   101.122
  341.145   135.229   92.6283
  43.9131   143.952   86.8678
  355.376   134.999   75.8926
